"序号","设备类别","故障现象","视频文件","视频标题","抖音原链接","时长秒","文件字节","状态"
"1","电饭煲","不通电","01_电饭煲_不通电.mp4","电饭煲不通电 煮不了饭 先别着急找师傅维修 #技术分享 #维修小技巧 #家电维修 #电饭煲不通电 #电饭煲维修","https://www.douyin.com/video/7589068479212442289","26.3","2104273","成功"
"2","电饭煲","按下煮饭键马上跳保温","02_电饭煲_按下煮饭键马上跳保温.mp4","电饭锅饭没熟就跳闸？根源就是这个磁钢限温器！ #合肥空调清洗 #合肥家电维修 #合肥上门维修空调 #美的E站 #空调深度拆洗 合肥修电饭锅｜三角14L商用锅夹生糊饭？换磁钢限温器立马修好","https://www.douyin.com/video/7665238112872717306","103.7","15767675","成功"
"3","电饭煲","米饭夹生","03_电饭煲_米饭夹生.mp4","#电饭煲 煮饭夹生 或加热后跳故障码E3大多是它的问题 #维修电饭锅 #实用小技巧 #实用小妙招","https://www.douyin.com/video/7630761194278692475","31.4","2887899","成功"
"4","电饭煲","煮饭糊底严重","04_电饭煲_煮饭糊底严重.mp4","🎉电饭煲饭煮不熟、煮焦饭、煮粥溢出来、米饭太硬或者太软怎么办？#电饭煲 #家电维修 #知识分享","https://www.douyin.com/video/7659811886293565684","96","17679573","成功"
"5","电饭煲","保温不热","05_电饭煲_保温不热.mp4","你知道电饭煲不加热，煮糊饭、不保温怎么办吗？检测温度传感器是否损坏。#电饭煲 #家电维修 #实用小技巧 #生活好帮手 #内容启发搜索","https://www.douyin.com/video/7482751843819359488","75.3","7993302","成功"
"6","电饭煲","显示屏不亮","06_电饭煲_显示屏不亮.mp4","第一视角带你全过程维修电饭煲通电不亮#家电维修 #青年创作者成长计划 #在拍一种很新的vlog","https://www.douyin.com/video/7664856176676326671","95","25483488","成功"
"7","电饭煲","有焦味","07_电饭煲_有焦味.mp4","电饭煲插头为啥容易烧坏，和防范办法！ #真实生活分享计划 #家电维修 #家用电器 #家装水电 #安全用电","https://www.douyin.com/video/7665944283249375098","34.3","8180633","成功"
"8","电磁炉","不通电","08_电磁炉_不通电.mp4","电磁炉不通电了怎么办？保姆级视频教程、怒省200！ #家电维修 #电磁炉 #电磁炉维修 #电磁炉不通电 #技术分享","https://www.douyin.com/video/7559518418635689276","114.6","20984087","成功"
"9","电磁炉","显示 E0/E1 等故障码","09_电磁炉_显示 E0_E1 等故障码.mp4","电磁炉维修实战解析：U1故障代码的意义与解决方法 #设备维修 #电器维修 #家电维修 #线路板维修 #维修电工","https://www.douyin.com/video/7617309100657277541","200.5","26762643","成功"
"10","电磁炉","加热一下就停","10_电磁炉_加热一下就停.mp4","电磁炉维修技巧干货分享 电磁炉加热一会就停了，插电没反应，通电滴滴响不加热，看完就知道这些故障到底是什么坏了#电磁炉 #电磁炉维修 #电磁炉不加热 #电磁炉通电无反应 #家电维修","https://www.douyin.com/video/7657143569647619748","32.6","6427091","成功"
"11","电磁炉","不加热但能开机","11_电磁炉_不加热但能开机.mp4","电磁炉通电不加热没反应，加热一会就停如何维修？ #电磁炉 #家电维修 #生活小技巧","https://www.douyin.com/video/7575398613120027910","0","18208734","成功"
"12","电磁炉","风扇不转","12_电磁炉_风扇不转.mp4","当我们遇到电磁炉的风扇不转，今天教大家如何快速检修 #电磁炉 #电工知识 #维修","https://www.douyin.com/video/7640720646141551971","0","36228838","成功"
"13","电磁炉","按键失灵","13_电磁炉_按键失灵.mp4","电磁炉按键失灵维修技巧 #家电维修 #维修小妙招 #电磁炉维修故障方法","https://www.douyin.com/video/7543246846891429178","0","27048277","成功"
"14","电磁炉","一插电就跳闸","14_电磁炉_一插电就跳闸.mp4","电磁炉一插电就跳闸，原来问题出在这里 #技术分享 #专业维修","https://www.douyin.com/video/7133948983071870212","0","114578079","成功"
"15","电水壶","不通电","15_电水壶_不通电.mp4","一分钟会修电水壶灯不亮不加热，90%都是小问题，零基础也能看懂 #电水壶不加热 #电水壶不通电 #家电维修","https://www.douyin.com/video/7631538794462036179","0","8771645","成功"
"16","电水壶","烧一会儿就断电","16_电水壶_烧一会儿就断电.mp4","电热水壶开关故障维修","https://www.douyin.com/video/7609154226187362917","0","14904837","成功"
"17","电水壶","水开不断电","17_电水壶_水开不断电.mp4","电水壶烧水不跳闸是什么原因？一分钟教会你怎么修好 #电水壶维修 #生活小家电","https://www.douyin.com/video/7616642700892444859","0","14669861","成功"
"18","电水壶","接触不良/转一转才通电","18_电水壶_接触不良_转一转才通电.mp4","电热水壶维修底座教程","https://www.douyin.com/video/7624155336194132133","0","9178612","成功"
"19","电水壶","漏水","19_电水壶_漏水.mp4","电热壶漏水维修 #电热水壶维修 #我爱动手","https://www.douyin.com/video/7648523348927257457","0","23271576","成功"
"20","电水壶","有烧焦味","20_电水壶_有烧焦味.mp4","电水壶烧水有塑料烧焦异味，到底什么问题？拆开一起看看","https://www.douyin.com/video/6821098405851401483","0","51094451","成功"
"21","电水壶","指示灯亮但不加热","21_电水壶_指示灯亮但不加热.mp4","电水壶灯亮不加热，一般都是这2个原因，只要拆开一看就知道 #电水壶 #家电维修 #生活小窍门 #水电工 #知识","https://www.douyin.com/video/7496064217666047267","176.3","17472826","成功"
"22","电风扇","通电嗡嗡响但不转","22_电风扇_通电嗡嗡响但不转.mp4","电风扇不转嗡嗡直响就有两个原因到三个原因","https://www.douyin.com/video/7664783342244939363","235.9","33874073","成功"
"23","电风扇","转得很慢","23_电风扇_转得很慢.mp4","风扇不转，转的慢，启动无力，自己怎么修好#风扇#风扇维修技巧 #自己动手修风扇 #电风扇故障维修","https://www.douyin.com/video/7666080253546295929","139.3","50531918","成功"
"24","电风扇","完全不转","24_电风扇_完全不转.mp4","第一视角带你全过程维修电风扇不转不吹风#家电维修 #青年创作者成长计划 #在拍一种很新的vlog","https://www.douyin.com/video/7664187415979969819","96","26560653","成功"
"25","电风扇","摇头失效","25_电风扇_摇头失效.mp4","电风扇不能摇头 咔咔响#电风扇维修 #家用家电#电风扇#实用小技巧#电风扇不摇头","https://www.douyin.com/video/7665660559367075493","42.1","13834352","成功"
"26","电风扇","噪音大","26_电风扇_噪音大.mp4","电风扇电机不转、转起来有异响、叶片反转、不花钱一招解决 #电风扇 #电风扇维修 #家电维修 #技术分享 #维修小技巧","https://www.douyin.com/video/7662295480995805051","42.2","12289933","成功"
"27","电风扇","遥控失灵","27_电风扇_遥控失灵.mp4","一分钟，让失灵的电风扇遥控器起死回生 炎热夏日，电风扇遥控器却突然失灵？别着急！本视频教你在一分钟内，不花冤枉钱，自己动手轻松搞定常见的遥控器失灵问题，让风扇迅速恢复正常运转，超实用生活小技能，赶紧码住！#电风扇遥控器失灵修复 #一分钟修复家电 #生活小妙招 #家电维修技巧 #风扇遥控器维修","https://www.douyin.com/video/7503456915494669604","66.7","8948580","成功"
"28","电风扇","风量忽大忽小","28_电风扇_风量忽大忽小.mp4","奥克斯电风扇维修，解决乱跳档问题","https://www.douyin.com/video/7666031250238951345","213.1","32788599","成功"
"29","洗衣机","不进水","29_洗衣机_不进水.mp4","七分钟会修波轮洗衣机，没劲打滑 噪音大 撞桶 不进水 不排水 不工作 漏水 不通电。#洗衣机 #波轮洗衣机 #生活技能 #实用小技巧 #老谢维修圈","https://www.douyin.com/video/7622275485687657125","394.8","88344162","成功"
"30","洗衣机","不排水","30_洗衣机_不排水.mp4","滚筒洗衣机不排水如何判断排水泵是不工作还是堵塞了 滚筒洗衣机不排水如何判断排水泵是不工作还是堵塞了#洗衣机维修小技巧 #家电维修 #洗衣机维修 #西门子洗衣机复位 #洗衣机不排水检修方法 西门子 美的 小天鹅 海尔 松下 惠而浦 荣事达 TCL LG三洋 三星 海信","https://www.douyin.com/video/7537627784097647915","92.9","17512920","成功"
"31","洗衣机","不脱水","31_洗衣机_不脱水.mp4","洗衣机E2不脱水？这故障超常见还最好修！ #分享电工知识 #创作者中心 #创作灵感 #洗衣机E2 #永州电工维修","https://www.douyin.com/video/7656304027541777841","49","8051179","成功"
"32","洗衣机","洗涤无力","32_洗衣机_洗涤无力.mp4","波轮洗衣机洗涤无力，启动电容更换和皮带松了怎么办？ #洗衣机维修 #洗衣机皮带 #洗衣机电容 #家电维修 #洗衣机维修小技巧 美的洗衣机，海尔洗衣机，小天鹅洗衣机，西门子洗衣机，惠而浦洗衣机，松下洗衣机","https://www.douyin.com/video/7491236181246528787","125.3","14612590","成功"
"33","洗衣机","漏水","33_洗衣机_漏水.mp4","洗衣机漏水，机器不存水，快速维修，#小天鹅洗衣机服务 #洗护健康管家 #轻奢洗护私享顾问 #美的全屋智能 #一声小美生活更美","https://www.douyin.com/video/7665724092875626097","73.7","16882295","成功"
"34","洗衣机","震动很大","34_洗衣机_震动很大.mp4","全自动波轮洗衣机噪声大、晃动怎么办？分享怎样更换减震吊杆。#家电维修#技术分享#洗衣机维修#全自动波轮洗衣机","https://www.douyin.com/video/7587068848073067816","129.7","22333798","成功"
"35","洗衣机","门打不开","35_洗衣机_门打不开.mp4","滚筒洗衣机门打不开，也不带应急拉环，别急‼️分分钟教会你#洗衣机门打不开怎么办 #洗衣机门锁打不开 #生活小妙招 #生活小技巧 #洗衣机应急开门","https://www.douyin.com/video/7616547007483145683","44","6001947","成功"
"36","洗衣机","显示 E1/E2/E3","36_洗衣机_显示 E1_E2_E3.mp4","滚筒洗衣机报警E2/E21，并不是洗衣机坏了，假性故障自己就可以处理。#小天鹅洗衣机服务 #洗护健康管家 #美的全屋智能 #一声小美生活更美 #洗衣机维修","https://www.douyin.com/video/7657422265907160244","82.6","15791073","成功"
"37","冰箱","不制冷","37_冰箱_不制冷.mp4","#真实生活分享计划#冰箱不制冷 #冰箱故障维修视频 #抖加热门 #冰箱维修小知识 冰箱不制冷怎么办？","https://www.douyin.com/video/7659336435833973750","100.5","16754962","成功"
"38","冰箱","冷藏不冷/冷冻正常","38_冰箱_冷藏不冷_冷冻正常.mp4","风冷冰箱冷藏室不制冷的维修思路，看完你也会修#真实生活分享计划 #家电维修#技术分享#冰箱#种草","https://www.douyin.com/video/7629185793814215601","125.2","19261683","成功"
"39","冰箱","结霜严重","39_冰箱_结霜严重.mp4","密封条老化不仅耗电，还会让冰箱疯狂结冰 #冰箱维修 #抖音全民写作大赛 #啄木鸟家庭维修 #夏天家修别硬扛 #清凉维修节","https://www.douyin.com/video/7665663472973270287","58.8","8131798","成功"
"40","冰箱","压缩机一直工作不停","40_冰箱_压缩机一直工作不停.mp4","冰箱压缩机不停机一直工作特别厚的冰，这个冰柜怎么修呢？#冰箱维修 #邯郸 #邯郸同城 #家电维修 #家电清洗","https://www.douyin.com/video/7654037177026157925","49.7","6077827","成功"
"41","冰箱","冰箱噪音大","41_冰箱_冰箱噪音大.mp4","冰箱噪音大，打开冰箱门就不响了，这种基本是风扇损坏或者风扇打到冰了#冰箱 #风扇 #噪音 #维修 #新号","https://www.douyin.com/video/7613396306778339956","58.4","4697258","成功"
"42","冰箱","冷藏室积水","42_冰箱_冷藏室积水.mp4","冰箱保鲜积水，底座淌水，一分钟教会你修冰箱积水。#冰箱积水疏通器 #冰箱积水 #冰箱排水孔堵塞疏通方法 #冰箱维修 #生活小妙招","https://www.douyin.com/video/7656314756685826725","39.8","5137487","成功"
"43","冰箱","灯不亮","43_冰箱_灯不亮.mp4","一分钟学会修冰箱门开灯不亮 #冰箱维修 #家电维修 #生活小技巧 #维修","https://www.douyin.com/video/7663422475884284490","36.8","4029561","成功"
"44","冰箱","外壳发烫","44_冰箱_外壳发烫.mp4","冰箱外壳发烫正常吗？很多人都搞错了，看完终于放心了#冰箱外壳发烫是什么原因造成的 #冰箱","https://www.douyin.com/video/7665979305364704512","31","1697180","成功"
